WITH REDUCED BATCH SIZE 


2024/08/09 22:37:09.258, 4 MiB, 81920 MiB
2024/08/09 22:37:18.280, 4 MiB, 81920 MiB
2024/08/09 22:37:26.198, 4 MiB, 81920 MiB
2024/08/09 22:37:27.404, 4 MiB, 81920 MiB
2024/08/09 22:37:30.684, 4 MiB, 81920 MiB
2024/08/09 22:37:43.669, 4 MiB, 81920 MiB
2024/08/09 22:37:44.896, 4 MiB, 81920 MiB
2024/08/09 22:37:47.158, 4 MiB, 81920 MiB
2024/08/09 22:38:00.113, 4 MiB, 81920 MiB
2024/08/09 22:38:03.112, 4 MiB, 81920 MiB
2024/08/09 22:38:04.550, 4 MiB, 81920 MiB
2024/08/09 22:38:17.589, 4 MiB, 81920 MiB
2024/08/09 22:38:20.885, 4 MiB, 81920 MiB
2024/08/09 22:38:22.060, 4 MiB, 81920 MiB
2024/08/09 22:38:25.063, 4 MiB, 81920 MiB
2024/08/09 22:38:37.960, 4 MiB, 81920 MiB
2024/08/09 22:38:40.819, 4 MiB, 81920 MiB
2024/08/09 22:38:42.052, 4 MiB, 81920 MiB
2024/08/09 22:38:50.312, 4 MiB, 81920 MiB
2024/08/09 22:38:58.130, 4 MiB, 81920 MiB
2024/08/09 22:38:59.825, 4 MiB, 81920 MiB
2024/08/09 22:39:13.003, 4 MiB, 81920 MiB
2024/08/09 22:39:15.188, 4 MiB, 81920 MiB
2024/08/09 22:39:16.422, 4 MiB, 81920 MiB
2024/08/09 22:39:27.706, 4 MiB, 81920 MiB
2024/08/09 22:39:36.558, 4 MiB, 81920 MiB
2024/08/09 22:39:40.183, 4 MiB, 81920 MiB
2024/08/09 22:39:56.313, 4 MiB, 81920 MiB
2024/08/09 22:40:00.021, 4 MiB, 81920 MiB
2024/08/09 22:40:17.900, 4 MiB, 81920 MiB
2024/08/09 22:40:20.086, 4 MiB, 81920 MiB
2024/08/09 22:40:32.243, 4 MiB, 81920 MiB
2024/08/09 22:40:39.363, 4 MiB, 81920 MiB
2024/08/09 22:40:41.969, 4 MiB, 81920 MiB
2024/08/09 22:40:48.142, 4 MiB, 81920 MiB
2024/08/09 22:40:59.167, 4 MiB, 81920 MiB
2024/08/09 22:41:03.505, 4 MiB, 81920 MiB
2024/08/09 22:41:18.706, 4 MiB, 81920 MiB
2024/08/09 22:41:20.355, 4 MiB, 81920 MiB
2024/08/09 22:41:37.343, 4 MiB, 81920 MiB
2024/08/09 22:41:39.533, 4 MiB, 81920 MiB
2024/08/09 22:41:42.231, 4 MiB, 81920 MiB
